service_id,date,exception_type
99,20211225,1
11,20221230,1
11,20230412,1
11,20230411,1
11,20230410,1
11,20230403,1
11,20221228,1
11,20221221,1
11,20221220,1
11,20230404,1
11,20220407,1
11,20230222,1
11,20230220,1
11,20221227,1
11,20221223,1
11,20200102,1
11,20230815,2
11,20201219,1
11,20220406,1
11,20230414,1
11,20211227,1
11,20230405,1
11,20221229,1
11,20221222,1
11,20230821,2
11,20230413,1
12,20211224,1
12,20230701,2
13,20230701,1
13,20221226,1
13,20230815,1
13,20230501,1
13,20230821,1
21,20221229,2
21,20230413,2
21,20211227,2
21,20230412,2
21,20230411,2
21,20230410,2
21,20221230,2
21,20230407,2
21,20221222,2
21,20221221,2
21,20221228,2
21,20230403,2
21,20230406,2
21,20221005,2
21,20230404,2
21,20211224,2
21,20230222,2
21,20230221,2
21,20221227,2
21,20221220,2
21,20221226,2
21,20221223,2
21,20221101,2
21,20211231,2
21,20220407,2
21,20200102,2
21,20221208,2
21,20230501,2
21,20230608,2
21,20230220,2
21,20230425,2
21,20220406,2
21,20230414,2
21,20230405,2
21,20201219,2
21,20221201,2
22,20230610,2
22,20230406,1
22,20220101,2
22,20211231,1
22,20230221,1
22,20211225,2
23,20230610,1
23,20230407,1
23,20220101,1
23,20221005,1
23,20221101,1
23,20221208,1
23,20221201,1
23,20230608,1
23,20230425,1
